epoch,train_loss,train_acc,val_loss,val_acc
1,0.35170536048710344,0.865625,2.4565547625223796,0.3333333333333333
2,0.09775158764794468,0.970625,2.5733728726704914,0.26666666666666666
3,0.036497728331014515,0.990625,3.2361159801483153,0.26666666666666666
4,0.01735854005208239,0.998125,3.879826052983602,0.3333333333333333
5,0.03903732338920236,0.991875,3.432927878697713,0.3
6,0.022864275109022857,0.994375,3.506859477361043,0.3
7,0.014189855108270422,0.996875,2.7840394337972003,0.23333333333333334
8,0.01303784412681125,0.99625,2.9837782859802244,0.3
9,0.004727359926910139,0.999375,3.369015185038249,0.26666666666666666
10,0.009241470226552338,0.998125,2.9671879609425864,0.23333333333333334
11,0.0056030952584114856,0.999375,3.0309269428253174,0.23333333333333334
