epoch,train_loss,train_acc,val_loss,val_acc
1,0.4636323411124093,0.8257142857142857,1.3331013822555542,0.62
2,0.0952579225386892,0.9771428571428571,0.8250406455993652,0.76
3,0.048163140692881176,0.9892857142857143,1.1071692323684692,0.7
4,0.03454525505059532,0.9907142857142858,1.6133709716796876,0.62
5,0.025514309628467475,0.9942857142857143,2.402596101760864,0.54
6,0.03911527357463326,0.9878571428571429,1.523728504180908,0.7
7,0.01047282030140715,0.9992857142857143,1.2323701584339142,0.72
8,0.006377827394421079,0.9985714285714286,1.0810609662532806,0.78
9,0.009739195578731596,0.9985714285714286,1.1346665012836457,0.76
10,0.005963335369846651,0.9985714285714286,1.3032247447967529,0.72
11,0.0034048237152663726,1.0,1.2413918304443359,0.76
12,0.003491030863951892,1.0,1.1219175028800965,0.74
