epoch,train_loss,train_acc,val_loss,val_acc
1,0.6989069526157682,0.5095238095238095,0.7243675271670024,0.43333333333333335
2,0.672575603212629,0.5650793650793651,0.7500799496968588,0.36666666666666664
3,0.6448812327687703,0.6587301587301587,0.7513942956924439,0.43333333333333335
4,0.6262051633426121,0.6968253968253968,0.7419373909632365,0.43333333333333335
5,0.5903706433281066,0.7365079365079366,0.7692167361577352,0.43333333333333335
6,0.5644408604455373,0.746031746031746,0.7700822075208028,0.43333333333333335
7,0.5635541980228727,0.7428571428571429,0.7780174891153971,0.4666666666666667
8,0.5439957117277479,0.7571428571428571,0.821582822004954,0.4
9,0.531257398734017,0.7603174603174603,0.8239648660024007,0.43333333333333335
10,0.5211850406631591,0.780952380952381,0.8364974697430928,0.4666666666666667
11,0.5024596721406966,0.780952380952381,0.7998427748680115,0.5
