epoch,train_loss,train_acc,val_loss,val_acc
1,0.7091518244743347,0.499,0.6809083938598632,0.65
2,0.6779822673797608,0.577,0.7069183111190795,0.45
3,0.6411210145950318,0.654,0.7335756301879883,0.45
4,0.6086891398429871,0.695,0.7736334443092346,0.4
5,0.5695016193389892,0.742,0.8287909030914307,0.35
6,0.5456550917625427,0.748,0.826441764831543,0.45
7,0.5222616238594056,0.757,0.8460050582885742,0.55
8,0.5055356802940368,0.784,0.8478984355926513,0.45
9,0.5012171649932862,0.77,0.8472229480743408,0.55
10,0.4775560488700867,0.794,0.8384469985961914,0.55
11,0.4667231774330139,0.799,0.8393630981445312,0.6
