epoch,train_loss,train_acc,val_loss,val_acc
1,0.7050608835523091,0.48095238095238096,0.7088150183359782,0.4666666666666667
2,0.6798842231432597,0.5555555555555556,0.690116548538208,0.4666666666666667
3,0.6620269960827297,0.5984126984126984,0.6880406538645426,0.4666666666666667
4,0.6386009246583969,0.6714285714285714,0.6495518604914348,0.5666666666666667
5,0.6177299703870501,0.7095238095238096,0.6490458488464356,0.6
6,0.5951395558932471,0.7333333333333333,0.6380900303522746,0.6666666666666666
7,0.5652118190886483,0.7555555555555555,0.6288695057233175,0.6666666666666666
8,0.5419613578962901,0.7523809523809524,0.640218981107076,0.6666666666666666
9,0.509265454988631,0.8,0.6500270565350851,0.6666666666666666
10,0.4939135559967586,0.7904761904761904,0.6625497937202454,0.6666666666666666
11,0.47419541317319114,0.7793650793650794,0.7098661224047343,0.5333333333333333
12,0.4490646808866471,0.8158730158730159,0.7067272226015727,0.6333333333333333
13,0.4508006145083715,0.7904761904761904,0.6945522387822469,0.6333333333333333
14,0.43174013202152556,0.8063492063492064,0.7040376822153728,0.6333333333333333
15,0.4215050228058346,0.8063492063492064,0.7339915871620178,0.6
16,0.4062381803043305,0.8285714285714286,0.7347877482573192,0.6333333333333333
17,0.3941234623628949,0.8285714285714286,0.7380486011505127,0.6666666666666666
