epoch,train_loss,train_acc,val_loss,val_acc
1,0.6975180411338806,0.526,0.6168405294418335,0.85
2,0.667433331489563,0.591,0.6465567708015442,0.7
3,0.6377707748413086,0.659,0.7256401062011719,0.4
4,0.5960847206115722,0.723,0.7286391258239746,0.45
5,0.5515087695121765,0.783,0.7288449883460999,0.5
6,0.5178514561653137,0.796,0.7844285488128662,0.55
7,0.4938761239051819,0.801,0.7066432237625122,0.6
8,0.4820514106750488,0.801,0.8116217136383057,0.4
9,0.458001716375351,0.814,0.8613692283630371,0.3
10,0.44387240886688234,0.81,0.7613038063049317,0.55
11,0.42553047132492067,0.819,0.9276478290557861,0.2
