epoch,train_loss,train_acc,val_loss,val_acc
1,0.7138114015261332,0.4962962962962963,0.776744258403778,0.1
2,0.6900996362721479,0.5358024691358024,0.7900278051694234,0.13333333333333333
3,0.6615958877551703,0.608641975308642,0.8736839254697164,0.1
4,0.6293172349164515,0.6753086419753086,0.8016195019086202,0.3333333333333333
5,0.6047092109550665,0.6679012345679012,1.0020479599634806,0.06666666666666667
6,0.5717032044022171,0.7518518518518519,0.9849718809127808,0.1
7,0.5486173173527659,0.7345679012345679,0.9786242047945658,0.26666666666666666
8,0.5411266017843176,0.7469135802469136,0.9601719657580058,0.26666666666666666
9,0.5176396384651278,0.7765432098765432,1.0254871606826783,0.2
10,0.5070741938955989,0.7814814814814814,1.1156574487686157,0.2
11,0.4868158287472195,0.7802469135802469,1.1244013071060182,0.2
