epoch,train_loss,train_acc,val_loss,val_acc
1,0.7053472481592737,0.5242424242424243,0.7697075009346008,0.2
2,0.6747723927401533,0.5848484848484848,0.7348631024360657,0.5
3,0.6500222996027782,0.6575757575757576,0.8491251468658447,0.3
4,0.6130134523516954,0.701010101010101,0.7554005980491638,0.4
5,0.5872087963903794,0.7383838383838384,0.8347259759902954,0.3
6,0.5475231561997924,0.7606060606060606,0.7178227305412292,0.7
7,0.5141041426947622,0.7727272727272727,0.7089370489120483,0.8
8,0.4992145520268065,0.7646464646464647,1.0070369243621826,0.3
9,0.4633955326947299,0.793939393939394,0.9369485378265381,0.5
10,0.4386459765711216,0.8121212121212121,0.7830758690834045,0.7
11,0.40472618052453707,0.8161616161616162,0.9595735669136047,0.5
12,0.3892308710801481,0.8343434343434344,1.2952598333358765,0.3
13,0.37973481898355965,0.8404040404040404,1.0104676485061646,0.5
14,0.357091004138041,0.8575757575757575,1.0849193334579468,0.5
15,0.37132557750952366,0.8515151515151516,1.213474154472351,0.5
16,0.3687218042335125,0.8383838383838383,1.1212273836135864,0.5
17,0.33948984916764074,0.8505050505050505,1.2111797332763672,0.5
