epoch,train_loss,train_acc,val_loss,val_acc
1,0.6964914109971788,0.5322222222222223,0.6589414358139039,0.5333333333333333
2,0.6621003691355387,0.6077777777777778,0.663176695505778,0.5666666666666667
3,0.6294230548540751,0.7066666666666667,0.651533591747284,0.5666666666666667
4,0.5922306956185235,0.7455555555555555,0.691156804561615,0.6666666666666666
5,0.5605611928304036,0.77,0.6520261287689209,0.6333333333333333
6,0.5256963188118405,0.7888888888888889,0.6889614264170328,0.7
7,0.4822652183638679,0.8066666666666666,0.6723641951878866,0.6333333333333333
8,0.44119672616322836,0.8244444444444444,0.6973035256067912,0.6666666666666666
9,0.4283279842800564,0.8377777777777777,0.711949348449707,0.7
10,0.4149271888203091,0.8511111111111112,0.7249641180038452,0.6333333333333333
11,0.38485808928807574,0.8611111111111112,0.7390400052070618,0.6333333333333333
12,0.38194862577650285,0.8333333333333334,0.7501133402188619,0.6666666666666666
13,0.34948391556739805,0.8777777777777778,0.7325666944185892,0.6
