epoch,train_loss,train_acc,val_loss,val_acc
1,0.7066557426452637,0.469,0.6765708208084107,0.45
2,0.6774406661987304,0.569,0.7015872240066529,0.4
3,0.6494160480499268,0.639,0.7254407286643982,0.45
4,0.610917242050171,0.705,0.7536973237991333,0.55
5,0.5713155303001404,0.729,0.7870574951171875,0.5
6,0.5554560308456421,0.722,0.7976065754890442,0.55
7,0.5393118414878845,0.745,0.8013949513435363,0.55
8,0.5144629774093628,0.768,0.8074815988540649,0.55
9,0.49590731763839724,0.779,0.8094238042831421,0.55
10,0.49815084409713745,0.779,0.8315910220146179,0.55
11,0.4871804103851318,0.778,0.8166116237640381,0.55
