epoch,train_loss,train_acc,val_loss,val_acc
1,0.6995418135325114,0.5233333333333333,0.7250487327575683,0.5
2,0.6695722749498155,0.6055555555555555,0.7379754463831584,0.43333333333333335
3,0.6423015811708238,0.6366666666666667,0.7624642093976338,0.3333333333333333
4,0.6169604179594251,0.7066666666666667,0.7408845742543538,0.43333333333333335
5,0.5804187758763631,0.7444444444444445,0.7739446878433227,0.4
6,0.5515030243661668,0.7755555555555556,0.7810107986132304,0.36666666666666664
7,0.5340291967656877,0.7833333333333333,0.7936414003372192,0.36666666666666664
8,0.5095344212320115,0.8111111111111111,0.7906429409980774,0.4
9,0.4924030017852783,0.8011111111111111,0.795165499051412,0.4
10,0.4763808943165673,0.8055555555555556,0.8142175277074178,0.4
11,0.4610389362441169,0.82,0.8195545315742493,0.4
