epoch,train_loss,train_acc,val_loss,val_acc
1,0.6814744806289673,0.60875,0.7580321431159973,0.35
2,0.6577751815319062,0.6575,0.7873688220977784,0.35
3,0.6409915542602539,0.67875,0.776643443107605,0.375
4,0.625638769865036,0.71625,0.7049206972122193,0.525
5,0.5908758872747422,0.72875,0.9082217335700988,0.375
6,0.5766180402040482,0.7575,0.7739670634269714,0.45
7,0.5515039074420929,0.77875,0.6782338738441467,0.475
8,0.5214471077919006,0.7725,0.786593246459961,0.45
9,0.49025519609451296,0.795,0.8337878227233887,0.475
10,0.46432944357395173,0.79,0.8808340549468994,0.475
11,0.4506487798690796,0.8025,0.9285980701446533,0.475
12,0.43688310325145724,0.80875,1.10383939743042,0.475
13,0.40296226769685745,0.84625,0.9157336235046387,0.525
14,0.4063268142938614,0.82125,0.9433150053024292,0.525
15,0.40224764347076414,0.82875,0.8755113840103149,0.525
16,0.37715959519147874,0.84875,1.0287887811660767,0.5
17,0.3871972027420998,0.8375,0.9859511375427246,0.525
