epoch,train_loss,train_acc,val_loss,val_acc
1,0.6917023477554322,0.543,0.6662025690078736,0.7
2,0.6632001152038575,0.624,0.7267850995063782,0.4
3,0.636105574131012,0.684,0.7041196584701538,0.45
4,0.5911250586509704,0.749,0.6114444017410279,0.75
5,0.5533067452907562,0.784,0.633377730846405,0.7
6,0.5104935128688812,0.792,0.642043924331665,0.65
7,0.4636191210746765,0.799,0.5635748028755188,0.8
8,0.42896669936180115,0.812,0.8443586349487304,0.4
9,0.38915989303588866,0.841,0.868166160583496,0.4
10,0.3696926169395447,0.845,0.7794417858123779,0.45
11,0.33638077676296235,0.859,0.7766858577728272,0.55
12,0.32550238037109375,0.861,1.1932926893234252,0.25
13,0.30880391669273377,0.87,1.118820881843567,0.45
14,0.3187753942012787,0.857,1.1711896181106567,0.4
15,0.2928875303268433,0.882,0.9638028144836426,0.45
16,0.2981481449604034,0.881,1.2465901851654053,0.35
17,0.2910022290945053,0.889,1.1164717197418212,0.4
